,вопрос,уточн¬опрос
1,Question,¬опрос
2,Question,пустое поле
3,%%%єєє?,%%%єєє?
4,¬опрос,прошла€ дата
5,%%%єєє?,¬опрос
6,Question,
7,¬опрос,
8,%%%єєє?,
9,стринга на кириллице,прошла€ дата
10,стринга на кириллице,%%%єєє?
11,стринга на кириллице,пустое поле
12,стринга на кириллице,сегодн€шн€€ дата
13,стринга на латинице с спецсимволами,стринга на кириллице
14,стринга на латинице с спецсимволами,прошла€ дата
15,стринга на латинице с спецсимволами,стринга на латинице с спецсимволами
16,стринга на латинице с спецсимволами,
17,стринга на латинице с спецсимволами,сегодн€шн€€ дата
18,стринга на латинице с спецсимволами,
19,,прошла€ дата
20,,сегодн€шн€€ дата
21,,
22,,сегодн€шн€€ дата
23,,
24,,
25,Question,сегодн€шн€€ дата
26,Question,
27,%%%єєє?,%%%єєє?
28,¬опрос,пустое поле
29,¬опрос,
30,%%%єєє?,%%%єєє?
31,стринга на латинице,пустое поле
32,стринга на латинице,сегодн€шн€€ дата
33,стринга на латинице,пустое поле
34,стринга на латинице,будуща€ дата
35,стринга на латинице,прошла€ дата
36,стринга на латинице,сегодн€шн€€ дата
